0,1,2,3
13.08,39.82,1012.27,85.21
12.05,40.55,1016.63,100.14
22.22,66.05,1016.15,80.58
25.21,59.21,1013.19,62.85
15.02,42.07,1017.89,83.68
9.45,41.92,1029.32,91.09
8.63,43.79,1016.08,83.25
30.17,75.08,1005.17,55.89
19.45,38.52,1017.99,62.86
12.04,40.1,1014.42,89.65
13.8,39.39,1013.85,81.95
6.06,41.17,1019.67,84.7
5.6,38.91,1019.31,85.33
31.86,73.88,1005.6,57.68
19.46,42.04,1011.3,60.45
8.75,40.22,1008.96,90.53
10.11,42.49,1010.22,82.11
18.39,38.52,1019.66,66.93
4.61,40.27,1012.32,77.28
10.23,41.46,1018.89,83.06
7.64,42.28,1008.49,83.42
14.49,41.92,1030.3,56.62
11.21,39.85,1013.01,75.55
28.4,74.93,1013.65,48.6
25.3,70.98,1007.22,95.1
15.59,52.75,1024.3,59.93
21.25,66.86,1012.99,60.65
30.74,71.77,1006.24,53.38
11.64,40.22,1010.58,80.84
15.52,40.0,1017.0,66.27
8.03,40.67,1020.13,70.87
29.65,74.9,1003.22,71.09
32.51,71.22,1005.62,47.6
12.16,45.0,1021.51,50.52
31.52,76.2,1008.31,57.35
29.78,74.78,1009.28,55.09
24.74,59.39,1015.23,74.64
4.15,39.9,1008.84,96.68
8.48,42.49,1010.77,88.68
22.26,60.77,1018.26,85.94
29.38,74.9,1003.25,72.19
29.51,76.09,1007.39,71.5
22.46,48.41,1008.66,80.85
27.56,63.9,1013.23,45.97
24.7,58.46,1015.58,68.64
8.48,38.5,1013.5,66.51
12.65,44.34,1014.74,92.81
20.76,59.21,1017.94,80.84
15.34,43.5,1021.18,79.44
6.48,40.27,1010.55,82.12
27.99,71.58,1010.68,68.99
30.92,80.18,1010.11,72.47
7.64,42.28,1008.46,84.29
12.91,41.16,1011.9,89.19
26.76,48.41,1010.53,47.38
8.74,40.03,1016.81,93.37
13.96,40.92,1022.65,73.08
26.33,61.41,1011.9,52.1
16.81,38.52,1018.26,75.21
8.35,42.85,1010.46,90.13
28.07,66.17,1010.58,64.11
6.58,40.07,1014.22,55.44
31.23,75.08,1004.93,46.19
24.45,66.49,1014.24,58.15
15.93,25.88,1009.45,72.83
14.07,40.78,1024.67,72.66
12.4,40.35,1011.46,79.49
22.64,63.73,1013.88,84.22
11.25,40.67,1011.64,63.54
26.31,77.95,1012.45,77.22
13.8,39.82,1012.37,83.69
22.4,68.31,1009.52,83.5
11.68,40.55,1006.48,96.16
14.39,42.77,1017.36,83.28
22.94,58.05,1012.27,80.12
15.55,39.63,1004.98,89.82
13.0,39.28,1016.7,81.94
26.65,73.18,1012.27,83.12
4.56,40.27,1011.13,80.24
14.57,25.88,1008.92,69.16
30.54,70.17,999.42,64.32
13.97,41.16,1020.88,74.88
12.28,40.92,1023.23,89.14
29.47,71.32,1008.07,67.0
6.93,43.13,1018.61,88.31
17.06,58.96,1013.83,73.95
7.11,39.9,1008.82,87.76
22.07,48.41,1008.71,81.29
21.84,59.39,1015.77,88.12
13.89,35.71,1016.4,65.49
30.92,78.05,1011.0,59.62
5.89,40.07,1018.99,63.13
28.8,71.58,1010.51,59.87
8.4,38.5,1013.67,69.13
13.31,41.26,1020.83,79.55
9.75,42.49,1010.57,83.63
31.33,73.03,1014.18,49.28
29.72,74.78,1009.32,55.25
9.14,37.36,1015.22,78.06
14.6,44.47,1028.46,69.96
23.42,50.05,1006.79,86.45
5.48,40.07,1019.63,65.62
29.42,79.74,1007.24,61.26
13.84,41.26,1020.92,74.74
6.29,43.65,1020.68,70.14
19.23,45.01,1012.24,72.91
23.25,59.87,1018.69,66.4
14.79,38.73,999.83,86.45
26.05,65.38,1009.43,52.1
9.98,39.66,1017.32,77.78
33.59,79.05,1007.79,63.55
12.39,44.58,1016.38,84.95
24.54,60.23,1011.55,72.78
22.79,44.57,1007.31,69.36
11.21,40.75,1016.45,86.14
28.72,68.14,1005.82,46.52
5.29,41.38,1020.62,83.83
16.5,44.63,1020.58,64.11
6.18,41.38,1020.23,81.38
31.25,74.34,999.06,69.85
13.52,42.34,1017.97,95.34
8.02,41.92,1029.8,92.05
31.92,75.33,1001.81,61.97
14.66,41.76,1022.12,78.13
28.22,76.2,1006.11,62.17
8.22,41.03,1021.76,82.97
20.98,43.77,1010.67,62.73
17.45,49.64,1026.4,66.67
10.59,39.96,1025.87,97.05
12.81,44.34,1015.55,90.37
