AT,V,AP,RH,Y
10.87,42.02,1002.08,95.22,472.63
27.92,68.12,1011.54,49.8,437.51
22.01,60.84,1017.55,83.82,441.9
25.23,58.82,1010.9,70.47,442.64
27.58,73.06,1009.63,88.31,438.1
31.38,72.29,1008.73,73.27,430.58
23.62,61.87,1010.07,48.77,447.93
20.37,52.05,1012.34,62.57,456.11
28.88,71.98,1005.37,74.24,428.61
21.93,62.91,1013.45,74.62,449.17
14.94,40,1017.69,65.43,456.41
29.91,70.02,1010.18,64.1,437.63
10.33,43.99,1020.7,96.68,474.17
31.82,73.68,1014.8,40.58,433.32
26.77,68.08,1010.83,63.48,432.91
16.17,41.79,1005.78,78.8,454.72
9.68,41.44,1015.19,87.34,479.89
8.99,41.26,1020.52,91.96,476.09
14.39,42.77,1017.36,83.28,463.65
24.66,58.86,1013.86,56.39,444.42
25.47,59.92,1010.08,77.18,439.84
6.25,39.48,1004.82,52.71,484.26
12.1,44.77,1019.1,75.85,463.11
25.18,57.5,1015.07,60.76,449.01
25.7,69.45,1013.86,56.91,437.04
19.81,43.56,1013.39,38.13,460.59
10.74,40.05,1015.45,87.33,477.93
31.23,72.58,1006.61,60.8,427.58
25.26,61.08,1013.68,71.72,447.46
15.28,48.14,1012.55,69.65,460.75
24.37,68.14,1005.22,59.27,440.22
12.57,39.16,1016.53,88.91,476.2
14.55,41.7,1018.58,80.8,454.14
24.81,66.44,1011.19,69.96,435.79
27.85,66.44,1008.48,77.15,429
20.27,57.76,1016.66,75.76,450.71
24.69,59.92,1010.12,80.58,436.33
10.34,41.46,1017.75,89.73,478.03
8.95,43.56,1015.04,81.53,485.21
16.91,43.96,1013.32,79.87,465.86
8.64,41.66,1014.14,80.44,481.89
25.38,63.87,1018.7,52.48,442.13
13.49,41.78,1010.66,63.34,467.92
23.23,56.89,1012.87,75.43,441.85
20.51,48.6,1005.29,80.7,448
14.72,39,1016.42,76.42,464.93
24.23,59.04,1011.91,71.79,443.06
21.75,45.09,1014.15,44.84,452.84
19.12,45.01,1014,59.95,453.24
5.74,40.62,1016.31,84.91,481.15
31.5,70.32,1011.44,64.09,435.13
31.7,70.36,1006.26,58.18,438.38
20.6,45.38,1014.93,75.78,460.24
5.7,40.62,1016.07,84.94,482.82
11.82,41.67,1012.94,84.51,476.73
28.01,51.43,1011.6,49.2,449.82
34.33,74.34,1001.74,42.75,435.76
9.18,42.18,1017.4,87.3,475.57
23.09,63.91,1012.23,83.25,447.9
23.96,65.34,1015.52,56.82,449.23
31.11,74.16,1012.2,58.86,435.69
19.67,59.39,1014.07,77.67,447.61
25.84,67.83,1009.26,59.55,433.32
